Experiment ID,Name,Config,Weight Bits,Activation Bits,MSE,SNR (dB),Cosine Sim,Model Size (MB),Latency (ms)
C0,Baseline,fp32-32/32,32,32,1.1888661062553485e-11,116.18583616638183,1.0000000087022782,13.426849365234375,5.49116849899292
W8A32,Weight-Only-8,weight_only-8/32,8,32,0.018191598599776624,24.30936190032959,0.9983066637516022,3.7366104125976562,5.463988780975342
W4A32,Weight-Only-4,weight_only-4/32,4,32,3.994929653644562,0.874649512915872,0.6506735805273056,2.2044219970703125,9.270594120025635
W16A32,Weight-Only-16,weight_only-16/32,16,32,1.1888661062553485e-11,116.18583616638183,1.0000000087022782,13.426849365234375,5.497195720672607
W8A16,Dynamic-W8A16,dynamic-8/16,8,16,0.020329617200419307,23.846428859710695,0.9981322811841965,3.7076873779296875,10.930421352386475
W8A8D,Dynamic-W8A8,dynamic-8/8,8,8,0.020329617200419307,23.846428859710695,0.9981322811841965,3.7076873779296875,11.029582023620605
W8A8-R100,Static-Random-100,static-8/8,8,8,0.02393115018680692,23.148729598999022,0.9977658692598342,3.91766357421875,6.905217170715332
W8A8-V10,Static-Real-10,static-8/8,8,8,0.02555638011917472,22.881115165710447,0.9976907628774643,3.91766357421875,6.766786575317383
W8A8-V100,Static-Real-100,static-8/8,8,8,0.026184982512146234,22.76015296936035,0.9974547668695449,3.91766357421875,6.772894859313965
W8A8-V500,Static-Real-500,static-8/8,8,8,0.03147724835202098,21.95687907409668,0.9968784357309342,3.91766357421875,6.70046329498291
W8A8-Tensor,Per-Tensor-W8A8,per_tensor-8/8,8,8,0.14207793003320693,15.408080173492431,0.9891734688282013,3.5054397583007812,6.773209571838379
W4A8,Static-W4A8,static-4/8,4,8,3.919884123325348,0.95589457026124,0.6484535759687424,2.3584136962890625,13.82943868637085
W4A16,Static-W4A16,static-4/16,4,16,3.91689577627182,0.9593890969385392,0.6509520090818405,2.4000701904296875,93.81336212158203
